OTUs,Domain,Phylum,Class,Order,Family,Genus
C2873,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2874,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2875,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,unclassified_Bacillaceae_1
C2876,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas
C2877,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae_1,Desulfitobacterium
C2878,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys
C2879,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae
C2880,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,unclassified_Planctomycetaceae
C2881,Bacteria,Actinobacteria,Actinobacteria,Solirubrobacterales,unclassified_Solirubrobacterales,
C2882,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,unclassified_Hyphomicrobiaceae
C2883,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2884,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified_Burkholderiales,
C2885,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta
C2886,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C2887,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2888,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
C2889,Bacteria,Firmicutes,Clostridia,Natranaerobiales,Natranaerobiaceae,Dethiobacter
C2890,Bacteria,unclassified_Bacteria,,,,
C2891,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
C2892,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Vampirovibrio
C2893,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,unclassified_Burkholderiaceae
C2894,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,unclassified_Phyllobacteriaceae
C2895,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pusillimonas
C2896,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified_Acetobacteraceae
C2897,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium
C2898,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C2899,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,unclassified_Rhodospirillaceae
C2900,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus
C2901,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2902,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2903,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,unclassified_Micromonosporaceae
C2904,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
C2905,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,,
C2906,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2907,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,unclassified_Acetobacteraceae
C2908,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2909,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
C2910,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C2911,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2912,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified_Alphaproteobacteria,,
C2913,Bacteria,unclassified_Bacteria,,,,
C2914,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2915,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C2916,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,unclassified_Clostridiales_Incertae_Sedis_XI
C2917,Bacteria,unclassified_Bacteria,,,,
C2918,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2919,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2920,Bacteria,unclassified_Bacteria,,,,
C2921,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Acidaminococcus
C2922,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,unclassified_Moraxellaceae
C2923,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2924,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Lutispora
C2925,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea
C2926,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C2927,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C2928,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2929,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2930,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Alkaliflexus
C2931,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
C2932,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
C2933,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria
C2934,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter
C2935,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2936,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,unclassified_Spirochaetaceae
C2937,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2938,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2939,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,,
C2940,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2941,Bacteria,unclassified_Bacteria,,,,
C2942,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2943,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C2944,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2945,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C2946,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2947,Bacteria,unclassified_Bacteria,,,,
C2948,Bacteria,unclassified_Bacteria,,,,
C2949,Bacteria,unclassified_Bacteria,,,,
C2950,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2951,Bacteria,unclassified_Bacteria,,,,
C2952,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified_Rhizobiales,
C2953,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2954,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2955,Bacteria,unclassified_Bacteria,,,,
C2956,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2957,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
C2958,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unclassified_Pseudomonadaceae
C2959,Bacteria,unclassified_Bacteria,,,,
C2960,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae_1,unclassified_Peptococcaceae_1
C2961,Bacteria,Firmicutes,Clostridia,Clostridiales,Gracilibacteraceae,Gracilibacter
C2962,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2963,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2964,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C2965,Bacteria,Actinobacteria,Actinobacteria,unclassified_Actinobacteria,,
C2966,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
C2967,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2968,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified_Bacillales,
C2969,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2970,Bacteria,unclassified_Bacteria,,,,
C2971,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
C2972,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2973,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified_Prevotellaceae
C2974,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,
C2975,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Myroides
C2976,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio
C2977,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C2978,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
C2979,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2980,Bacteria,unclassified_Bacteria,,,,
C2981,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae
C2982,Bacteria,unclassified_Bacteria,,,,
C2983,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2984,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio
C2985,Bacteria,unclassified_Bacteria,,,,
C2986,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2987,Bacteria,unclassified_Bacteria,,,,
C2988,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2989,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C2990,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C2991,Bacteria,unclassified_Bacteria,,,,
C2992,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridium_XI
C2993,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C2994,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C2995,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2996,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C2997,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C2998,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas
C2999,Bacteria,unclassified_Bacteria,,,,
C3000,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella
C3001,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3002,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter
C3003,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3004,Bacteria,unclassified_Bacteria,,,,
C3005,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3006,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3007,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb
C3008,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Ignatzschineria
C3009,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
C3010,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3011,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3012,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
C3013,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
C3014,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified_Alphaproteobacteria,,
C3015,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
C3016,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C3017,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3018,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3019,Bacteria,unclassified_Bacteria,,,,
C3020,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3021,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas
C3022,Bacteria,Tenericutes,Mollicutes,unclassified_Mollicutes,,
C3023,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3024,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3025,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,unclassified_Sutterellaceae
C3026,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3027,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3028,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella
C3029,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3030,Bacteria,unclassified_Bacteria,,,,
C3031,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,,
C3032,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3033,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelotrichaceae_incertae_sedis
C3034,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3035,Bacteria,Cyanobacteria/Chloroplast,Cyanobacteria,Family_I,Family_I,GpI
C3036,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus
C3037,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Helcococcus
C3038,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Wandonia
C3039,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3040,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,unclassified_Clostridiaceae_1
C3041,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Cryomorpha
C3042,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
C3043,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nakamurellaceae,unclassified_Nakamurellaceae
C3044,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,unclassified_Porphyromonadaceae
C3045,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3046,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3047,Bacteria,unclassified_Bacteria,,,,
C3048,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,unclassified_Acidaminococcaceae
C3049,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Cryomorpha
C3050,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3051,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,unclassified_Syntrophomonadaceae
C3052,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,,
C3053,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
C3054,Bacteria,unclassified_Bacteria,,,,
C3055,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unclassified_Pseudomonadaceae
C3056,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3057,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiaceae,Alkaliflexus
C3058,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Castellaniella
C3059,Bacteria,unclassified_Bacteria,,,,
C3060,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae
C3061,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3062,Bacteria,unclassified_Bacteria,,,,
C3063,Bacteria,Spirochaetes,Spirochaetes,Spirochaetales,Spirochaetaceae,Treponema
C3064,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3065,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3066,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
C3067,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
C3068,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3069,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium
C3070,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
C3071,,,,,,
C3072,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas
C3073,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,unclassified_Burkholderiaceae
C3074,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Gracilimonas
C3075,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C3076,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3077,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,unclassified_Brucellaceae
C3078,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma
C3079,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3080,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae
C3081,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,
C3082,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis
C3083,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C3084,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unclassified_Alcaligenaceae
C3085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,unclassified_Rhodobacteraceae
C3086,Bacteria,unclassified_Bacteria,,,,
C3087,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unclassified_Pseudomonadaceae
C3088,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Balneola
C3089,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,unclassified_Sphingobacteriales,
C3090,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
C3091,Bacteria,unclassified_Bacteria,,,,
C3092,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
C3093,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
C3094,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,unclassified_Alcaligenaceae
C3095,Bacteria,unclassified_Bacteria,,,,
C3096,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3097,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
C3098,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3099,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3100,Bacteria,unclassified_Bacteria,,,,
C3101,Bacteria,Elusimicrobia,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium
C3102,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella
C3103,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas
C3104,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,unclassified_Bacillaceae_1
C3105,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3106,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes
C3107,Bacteria,Firmicutes,Clostridia,Clostridiales,Incertae_Sedis_XI,Clostridium_XII
C3108,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae
C3109,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3110,Bacteria,unclassified_Bacteria,,,,
C3111,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Flavitalea
C3112,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3113,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium
C3114,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_2,unclassified_Bacillaceae_2
C3115,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C3116,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified_Bacillales,
C3117,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,unclassified_Bacteroidales,
C3118,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3119,Bacteria,Bacteroidetes,unclassified_Bacteroidetes,,,
C3120,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Allisonella
C3121,Bacteria,unclassified_Bacteria,,,,
C3122,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3123,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3124,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Saprospiraceae,unclassified_Saprospiraceae
C3125,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,unclassified_Prevotellaceae
C3126,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified_Bacillales,
C3127,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified_Microbacteriaceae
C3128,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella
C3129,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3130,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,
C3131,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
C3132,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,
C3133,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cryomorphaceae,Brumimicrobium
C3134,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella
C3135,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
C3136,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unclassified_Lachnospiraceae
C3137,Bacteria,unclassified_Bacteria,,,,
C3138,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Olsenella
C3139,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVb
C3140,Bacteria,unclassified_Bacteria,,,,
C3141,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,unclassified_Sphingobacteriaceae
C3142,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
C3143,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unclassified_Ruminococcaceae
C3144,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3145,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,unclassified_Erysipelotrichaceae
C3146,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,unclassified_Clostridiales_Incertae_Sedis_XI
C3147,Bacteria,unclassified_Bacteria,,,,
C3148,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,unclassified_Flavobacteriaceae
C3149,Bacteria,unclassified_Bacteria,,,,
C3150,Bacteria,Firmicutes,unclassified_Firmicutes,,,
C3151,Bacteria,Firmicutes,Bacilli,Bacillales,unclassified_Bacillales,
C3152,Bacteria,unclassified_Bacteria,,,,
C3153,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora
C3154,Bacteria,Proteobacteria,Alphaproteobacteria,unclassified_Alphaproteobacteria,,
C3155,Bacteria,Proteobacteria,Gammaproteobacteria,unclassified_Gammaproteobacteria,,
C3156,Bacteria,unclassified_Bacteria,,,,
C3157,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
C3158,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,unclassified_Microbacteriaceae
C3159,Bacteria,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Gracilimonas
C3160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,unclassified_Rhizobiales,
C3161,Bacteria,unclassified_Bacteria,,,,
C3162,Bacteria,unclassified_Bacteria,,,,
C3163,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Demequinaceae,Demequina
C3164,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas
C3165,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora
C3166,Bacteria,Chloroflexi,Caldilineae,Caldilineales,Caldilineaceae,Caldilinea
C3167,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas
C3168,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,unclassified_Planococcaceae
C3169,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Myroides
C3170,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,unclassified_Opitutaceae
